"shop_id","domain_url","domain_registration_date","is_young_domain","contact_email","logo_url","legitimate"
"915","https://www.healthful-online.com","2020-06-01 17:00:00","0","3","1","0"
"916","https://www.gomecks.top","2023-02-15 15:56:00","1","0","0","0"
"917","https://www.discountcartool.com","2023-07-26 01:38:00","1","0","1","0"
"918","https://premiumpillservice.com","2023-02-08 13:46:00","1","0","1","0"
"919","https://www.labq22.in","2017-08-09 15:25:00","0","0","0","0"
"920","https://www.collectionbicycle.com","2023-04-19 03:18:00","1","0","1","0"
"921","https://www.lightfamous.com","2023-08-16 07:11:00","1","0","0","0"
"922","https://landbikini.com","2023-05-17 07:58:00","1","0","0","0"
"923","https://caluaniechemicalsllc.com","2022-12-08 00:00:00","1","2","1","0"
"924","https://www.superglamourous.it","2011-10-28 12:28:00","0","1","1","1"
"925","https://abcexportgroup.co.za","2022-09-27 00:00:00","1","2","1","0"
"926","https://www.atlasformen.cz","2015-12-17 12:36:00","0","0","1","1"
"927","https://www.industrialprotool.com","2023-06-25 06:18:00","1","0","1","0"
"928","https://allbursatours.com","2013-12-27 07:41:00","0","2","1","1"
"929","https://www.sugartrends.com","2012-08-26 18:41:00","0","0","1","1"
"930","https://www.sportyglobe.com","2023-05-24 03:28:00","1","0","1","0"
"931","https://www.divinebugs.com","2019-01-23 09:53:00","0","3","1","1"
"932","https://www.usopenair.com","2023-03-22 10:50:00","1","0","1","0"
"933","https://www.cosplaysincere.com","2023-08-17 07:14:00","1","0","1","0"
"934","https://www.decoration-house.com","2023-08-09 08:23:00","1","0","1","0"
"935","https://asieboisconcept.fr","2023-01-14 00:39:00","1","2","0","0"
"936","https://www.bigdealkicks.com","2023-04-09 04:27:00","1","0","0","0"
"937","https://www.focalprice.com","2008-06-03 03:17:00","0","2","1","1"
"938","https://www.slendergoods.com","2023-05-20 01:38:00","1","0","1","0"
"939","https://kosmart.eu","","2","1","1","1"
"940","https://www.party365.se","2021-09-23 00:00:00","0","0","1","1"
"941","https://www.categoryfurniture.com","2023-06-19 03:55:00","1","0","1","0"
"942","https://lidiacrochettricot.com","2015-03-18 00:00:00","0","3","1","1"
"943","https://amofugroupholdings.com","2023-03-29 11:10:00","1","2","1","0"
"944","https://www.fischende.com","2023-05-19 07:57:00","1","0","1","0"
"945","https://johnny-urban.com","2017-05-17 15:09:00","0","3","1","1"
"946","https://www.kartalyuvasi.eu/en","","2","0","1","1"
"947","https://www.byyentl.com","2022-08-22 01:53:00","1","0","0","0"
"948","https://www.greenlinelina.de","","2","0","0","0"
"949","https://www.askopindopusat.com","2022-09-27 02:35:00","1","0","1","0"
"950","https://www.polo-motorrad.com/de-de","2003-08-05 11:13:00","0","2","1","1"
"951","https://www.trendfashionary.com","2023-04-14 03:39:00","1","0","1","0"
"952","https://www.alaskanmaker.fr/en","2016-11-08 13:16:00","0","2","1","1"
"953","https://www.vaughanshoes.ie","2014-04-09 00:00:00","0","1","1","1"
"954","https://www.gottalive.com","2005-10-14 19:29:00","0","3","1","1"
"955","https://www.electrifytools.com","2023-07-06 00:00:00","1","0","1","0"
